#,Kind,Subtype,Orientation,Closest entrance,Building,Floor,Room,Latitude,Longitude,Notes,Connections,Date,Time,Timestamp
1,connector,stairs,,North Entrance,Midrise,1–5,Stair 4,41.72158384831809,-73.9365822911113,,,"Apr 19, 2026",12:29:16 PM,2026-04-19T16:29:16.062Z
2,connector,stairs,,North Entrance,Midrise,1–5,Stair 3,41.72158940505335,-73.93625099575075,,,"Apr 19, 2026",12:30:23 PM,2026-04-19T16:30:23.051Z
3,entrance,,N,,Midrise,1,North Entrance,41.72165330747333,-73.93599973241493,,,"Apr 19, 2026",12:31:08 PM,2026-04-19T16:31:08.320Z
4,connector,elevator,,North Entrance,Midrise,1–5,Elevator,41.72150049723288,-73.93599600999505,,,"Apr 19, 2026",12:31:39 PM,2026-04-19T16:31:39.700Z
5,room,,,North Entrance,Midrise,3,305,41.721572734846546,-73.9361784085651,,,"Apr 19, 2026",12:32:45 PM,2026-04-19T16:32:45.812Z
6,connector,stairs,,North Entrance,Midrise,2–5,Stair 2,41.72158384831809,-73.93591783917994,,,"Apr 19, 2026",12:33:28 PM,2026-04-19T16:33:28.472Z
7,connector,stairs,,Rotunda Entrance,Midrise,3–5,Stair 1,41.72156188763947,-73.93556555136641,,,"Apr 19, 2026",12:34:11 PM,2026-04-19T16:34:11.643Z
8,hallway,,,,Midrise,*,H1,41.72151964609901,-73.93667709528657,,H2,19 Apr 2026,12:44:34,2026-04-19T16:44:34.845Z
9,hallway,,,,Midrise,*,H2,41.72154667267978,-73.9360780850026,,"H1,H3",19 Apr 2026,12:44:42,2026-04-19T16:44:42.841Z
10,hallway,,,,Midrise,*,H3,41.721521648068006,-73.93552018552727,,H2,19 Apr 2026,12:44:52,2026-04-19T16:44:52.238Z
11,entrance,,SE,,Midrise,3,Rotunda Entrance,41.721486,-73.935442,,,19 Apr 2026,12:45:55,2026-04-19T16:45:55.587Z