#,Kind,Subtype,Orientation,Closest entrance,Building,Floor,Room,Latitude,Longitude,Notes,Date,Time,Timestamp
1,entrance,,E,,Steel Plant,1,Main,41.721628760950125,-73.93059521913528,,"Apr 17, 2026",11:29:59 PM,2026-04-18T03:29:59.109Z
2,room,,,Main (E),Steel Plant,1,Mporium,41.72162408969603,-73.93060684204103,,"Apr 17, 2026",11:30:46 PM,2026-04-18T03:30:46.940Z
3,room,,,Main (E),Steel Plant,1,104,41.7216300955941,-73.9306738972664,,"Apr 17, 2026",11:30:59 PM,2026-04-18T03:30:59.220Z
4,connector,stairs,,,Steel Plant,1–2,Stair A,41.7216300955941,-73.9306738972664,,"Apr 17, 2026",11:31:30 PM,2026-04-18T03:31:30.981Z
5,room,,,Main (E),Steel Plant,1,101,41.72154334367885,-73.9306926727295,,"Apr 17, 2026",11:31:52 PM,2026-04-18T03:31:52.220Z
6,room,,,Main (E),Steel Plant,1,103,41.721477946003795,-73.93071591854095,,"Apr 17, 2026",11:32:16 PM,2026-04-18T03:32:16.125Z
7,room,,,Main (E),Steel Plant,1,105,41.721353823702806,-73.93064796924592,,"Apr 17, 2026",11:32:35 PM,2026-04-18T03:32:35.966Z
8,connector,elevator,,,Steel Plant,1–2,Main,41.72131778815116,-73.93072128295898,,"Apr 17, 2026",11:33:04 PM,2026-04-18T03:33:04.482Z
9,room,,,Main (E),Steel Plant,1,113,41.72134448115431,-73.93078923225404,,"Apr 17, 2026",11:33:21 PM,2026-04-18T03:33:21.414Z
10,room,,,Main (E),Steel Plant,1,112,41.72140987896519,-73.93075883388519,,"Apr 17, 2026",11:33:47 PM,2026-04-18T03:33:47.287Z
11,room,,,Main (E),Steel Plant,1,110,41.721449918408396,-73.9308124780655,,"Apr 17, 2026",11:34:10 PM,2026-04-18T03:34:10.246Z
12,room,,,Main (E),Steel Plant,1,106,41.721578044458994,-73.93083751201631,,"Apr 17, 2026",11:34:29 PM,2026-04-18T03:34:29.535Z
13,room,,,Main (E),Steel Plant,1,115,41.721315118850214,-73.93086254596712,,"Apr 17, 2026",11:35:39 PM,2026-04-18T03:35:39.813Z
14,room,,,Main (E),Steel Plant,1,117,41.721309780248035,-73.93096268177032,,"Apr 17, 2026",11:35:49 PM,2026-04-18T03:35:49.882Z
15,room,,,Main (E),Steel Plant,1,119,41.72129509908973,-73.93104314804077,,"Apr 17, 2026",11:36:06 PM,2026-04-18T03:36:06.260Z
16,connector,elevator,,,Steel Plant,1–2,Back,41.721289760485874,-73.93112719058992,,"Apr 17, 2026",11:36:23 PM,2026-04-18T03:36:23.413Z
17,room,,,Main (E),Steel Plant,1,121,41.721289760485874,-73.93112719058992,,"Apr 17, 2026",11:37:04 PM,2026-04-18T03:37:04.519Z
18,room,,,Main (E),Steel Plant,1,123,41.72136983949702,-73.93108785152437,,"Apr 17, 2026",11:37:34 PM,2026-04-18T03:37:34.927Z
19,room,,,Main (E),Steel Plant,1,124,41.721432567986064,-73.93111288547516,,"Apr 17, 2026",11:37:45 PM,2026-04-18T03:37:45.526Z
20,room,,,Main (E),Steel Plant,2,219,41.72129576641519,-73.93103063106538,,"Apr 17, 2026",11:39:09 PM,2026-04-18T03:39:09.179Z
21,room,,,Main (E),Steel Plant,2,217,41.72130310699466,-73.93096178770067,,"Apr 17, 2026",11:39:29 PM,2026-04-18T03:39:29.387Z
22,room,,,Main (E),Steel Plant,2,215,41.7213111148986,-73.93086791038515,,"Apr 17, 2026",11:39:41 PM,2026-04-18T03:39:41.803Z
23,room,,,Main (E),Steel Plant,2,213,41.72131445152498,-73.93076330423357,,"Apr 17, 2026",11:40:20 PM,2026-04-18T03:40:20.115Z
24,room,,,Main (E),Steel Plant,2,205,41.72138885531692,-73.93081785480747,,"Apr 17, 2026",11:41:04 PM,2026-04-18T03:41:04.406Z
25,room,,,Main (E),Steel Plant,2,203,41.721402872060075,-73.93081694841386,,"Apr 17, 2026",11:41:17 PM,2026-04-18T03:41:17.146Z
26,room,,,Main (E),Steel Plant,2,201,41.721476611356685,-73.93083170056344,,"Apr 17, 2026",11:41:37 PM,2026-04-18T03:41:37.902Z
27,room,,,Main (E),Steel Plant,2,202,41.721519320050845,-73.93082991242409,,"Apr 17, 2026",11:42:45 PM,2026-04-18T03:42:45.693Z